,dt,my_team,oppo_team,守備,選手,打数,得点,安打,打点,盗塁,1,2,3,4,5,6,7,8,9,10,11,12,
14,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,(投),63165134,2,0,1,0,0,-,一犠打,-,投　安,-,右　飛,-,-,-,,,,
15,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,投,21525138,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
16,2024-03-29,中日ドラゴンズ,東京ヤクルトスワローズ,中,81785133,1,0,0,0,0,-,-,-,-,-,-,-,三　飛,-,,,,
0,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(中),71975136,4,2,2,0,1,中前安,-,中前安,-,左　飛,-,三　振,敬遠四,,,,,
1,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(右)左,21225133,4,0,1,3,0,右　飛,-,中犠飛①,-,三　振,-,二ゴロ,右中３②,,,,,
2,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(一),23525153,5,1,2,0,0,二　飛,-,右前安,-,-,遊　安,遊ゴロ,三ゴロ,,,,,
3,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(三),41845136,4,1,3,0,0,三　振,-,右前安,-,-,中前安,-,遊　安,,,,,
4,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(二),91895133,1,0,1,0,0,-,中越２,-,-,-,-,-,-,,,,,
5,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,打二遊,71275151,2,1,1,0,0,-,-,左　飛,-,-,三バ安,-,四　球,,,,,
6,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(左),53755153,3,0,1,2,0,-,中　飛,-,中　飛,-,中犠飛①,-,右越安①,,,,,
7,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,走右,91695153,0,1,0,0,0,-,-,-,-,-,-,-,-,,,,,
8,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(捕),51255118,3,1,1,0,0,-,三　振,-,遊ゴロ,-,遊　安,-,四　球,,,,,
9,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(遊),51455151,2,0,0,0,0,-,捕ゴロ,-,中　飛,-,-,-,-,,,,,
10,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,打,31735112,1,0,0,0,0,-,-,-,-,-,一ゴロ,-,-,,,,,
11,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,二,51155153,0,0,0,0,0,-,-,-,-,-,-,-,一犠打,,,,,
12,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,(投),33735153,1,0,0,0,0,-,-,三　振,-,-,-,-,-,,,,,
13,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,打,21525136,1,0,0,0,0,-,-,-,-,中　飛,-,-,-,,,,,
14,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,投,11815134,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
15,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,打,31135119,1,0,0,0,0,-,-,-,-,-,遊ゴロ,-,-,,,,,
16,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,投,91595135,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
17,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,投,41545151,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
18,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,投,11915153,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
19,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,打,41245133,0,0,0,1,0,-,-,-,-,-,-,-,右犠飛①,,,,,
20,2024-03-29,東京ヤクルトスワローズ,中日ドラゴンズ,投,41945139,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
0,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(二),61565135,5,1,2,0,0,右前安,-,右前安,左　飛,-,遊ゴ失,-,-,遊　直,,,,
1,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(中),31335137,4,1,1,0,0,遊ゴロ,-,中前安,右　飛,-,一ゴロ,-,-,-,,,,
2,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,打,01405116,1,0,0,0,0,-,-,-,-,-,-,-,-,一ゴロ,,,,
3,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(遊),01705138,4,1,3,0,0,右前安,-,中前安,-,遊　安,-,三　振,-,-,,,,
4,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(左),61965131,4,0,2,1,0,三　直,-,中前安①,-,左前安,-,三　振,-,-,,,,
5,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(捕),11915134,4,0,1,1,0,左　飛,-,右前安①,-,二併打,-,中　飛,-,-,,,,
6,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(三),93095159,2,0,0,1,0,-,右　飛,中犠飛①,-,四　球,-,-,三　振,-,,,,
7,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(右),61265155,4,0,0,0,0,-,三　振,三　振,-,三　振,-,-,三　振,-,,,,
8,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(一),23725159,4,0,1,0,0,-,遊ゴロ,-,左線２,-,右　飛,-,三　振,-,,,,
9,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,(投),71775139,3,0,0,0,0,-,-,三　振,三　振,-,三　振,-,-,-,,,,
10,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,投,31935138,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
11,2024-03-29,広島東洋カープ,横浜DeNAベイスターズ,打,31135133,1,0,0,0,0,-,-,-,-,-,-,-,-,二ゴロ,,,,
0,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(右),33535159,4,1,1,3,0,二ゴロ,-,右中本③,-,右　飛,-,二ゴロ,-,,,,,
1,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(一),73375151,4,1,3,0,0,遊ゴロ,-,中前安,-,-,右前安,-,右前安,,,,,
2,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,中,51755135,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
3,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(左),91995134,4,0,1,0,0,三　振,-,二　直,-,-,中前安,-,中　飛,,,,,
4,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,投,93195134,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
5,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(二),13115153,4,0,1,0,0,-,遊　飛,左　飛,-,-,左　飛,-,右前安,,,,,
6,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(三),51455137,3,0,1,0,0,-,二　直,-,右　飛,-,左前安,-,敬遠四,,,,,
7,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(中),51555155,3,0,0,0,0,-,三　振,-,三　振,-,三　振,-,-,,,,,
8,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,打一,61465112,0,0,0,1,0,-,-,-,-,-,-,-,右犠飛①,,,,,
9,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(捕),23125136,3,1,2,0,0,-,-,中前安,二ゴロ,-,-,左前安,四　球,,,,,
10,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(遊),91195159,3,1,1,0,0,-,-,一　安,-,三　振,-,一ゴロ,-,,,,,
11,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,投,13715157,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
12,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,打左,31935139,1,0,0,0,0,-,-,-,-,-,-,-,三　振,,,,,
13,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,(投),51155136,2,0,0,0,0,-,-,三　振,-,二ゴロ,-,-,-,,,,,
14,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,打,61565136,1,0,0,0,0,-,-,-,-,-,-,三　振,-,,,,,
15,2024-03-29,横浜DeNAベイスターズ,広島東洋カープ,遊,91695157,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,
0,2024-03-29,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,(中)左,01505137,5,1,1,0,1,左邪飛,-,中　飛,-,-,三　振,-,中前安,一ゴロ,,,,
1,2024-03-29,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,(右),53555153,4,0,0,0,0,三ゴロ,-,左　飛,-,-,三　振,-,三　振,-,,,,
2,2024-03-29,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,(二),41245130,4,0,1,1,0,左　飛,-,-,三　振,-,三ゴロ,-,左中３①,-,,,,
3,2024-03-29,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,(一),53555159,3,0,0,0,0,-,四　球,-,左　飛,-,-,三ゴロ,三　振,-,,,,
4,2024-03-29,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,(指),81085115,4,0,1,0,0,-,中　飛,-,中　飛,-,-,中前安,-,三　振,,,,
5,2024-03-29,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,(三),91295153,4,0,2,0,0,-,中　飛,-,-,三　振,-,右前安,-,左前安,,,,
